0	42000.0	41374.0
1	39657.0	38569.0
2	37225.0	35473.0
3	38650.5	36175.0
4	36586.5	36175.0
5	34339.0	33732.0
6	32643.0	31468.0
7	32643.0	32682.0
8	30767.0	32682.0
9	33108.5	32682.0
10	31500.0	30540.5
11	31291.0	30553.0
12	29595.0	30553.0
13	28070.0	28110.0
14	28764.5	27577.0
15	28764.5	29196.5
16	27003.5	29196.5
17	25610.5	27055.0
18	24422.5	25235.0
19	29019.5	27905.0
20	27626.5	27905.0
21	26279.5	25830.0
22	24886.5	24010.0
23	24886.5	23856.5
24	23734.0	23856.5
25	24167.0	23279.5
26	23029.0	21715.0
27	22820.0	21516.0
28	21682.0	21516.0
29	20544.0	19905.0
30	22661.0	19537.0
31	22661.0	20296.5
32	21408.5	18476.5
33	20468.5	17066.0
34	21531.0	16121.0
35	21322.0	17180.0
36	20382.0	15569.0
37	19697.0	13755.0
38	22351.0	13387.0
39	22351.0	14956.5
40	21666.0	13070.0
41	21098.5	11505.0
42	21250.0	10928.0
43	21250.0	9580.0
44	20774.0	8224.0
45	20298.0	6868.0
46	22711.5	6132.0
47	22711.5	4790.0
48	22473.5	3225.0
49	22235.5	1292.0
50	24085.0	506.0
51	24085.0	0.0
